X1.75,Years,Attr
1,1,Unattractive
2,4,Unattractive
3,3,Unattractive
4,2,Unattractive
5,8,Unattractive
6,8,Unattractive
7,1,Unattractive
8,1,Unattractive
9,5,Unattractive
10,7,Unattractive
11,1,Unattractive
12,5,Unattractive
13,2,Unattractive
14,12,Unattractive
15,10,Unattractive
16,1,Unattractive
17,6,Unattractive
18,2,Unattractive
19,5,Unattractive
20,12,Unattractive
21,6,Unattractive
22,3,Unattractive
23,8,Unattractive
24,4,Unattractive
25,10,Unattractive
26,10,Unattractive
27,15,Unattractive
28,15,Unattractive
29,3,Unattractive
30,3,Unattractive
31,3,Unattractive
32,11,Unattractive
33,12,Unattractive
34,2,Unattractive
35,1,Unattractive
36,1,Unattractive
37,12,Unattractive
38,5,Average
39,5,Average
40,4,Average
41,3,Average
42,6,Average
43,4,Average
44,9,Average
45,8,Average
46,3,Average
47,2,Average
48,10,Average
49,1,Average
50,1,Average
51,3,Average
52,1,Average
53,3,Average
54,5,Average
55,8,Average
56,3,Average
57,1,Average
58,1,Average
59,1,Average
60,2,Average
61,2,Average
62,1,Average
63,1,Average
64,2,Average
65,3,Average
66,4,Average
67,5,Average
68,3,Average
69,3,Average
70,3,Average
71,2,Average
72,7,Average
73,6,Average
74,12,Average
75,8,Average
